Level,Abandoned Foundry,Accursed Crypts,ACF Site,Asten Labratory,Bunker,CabIn,CIDOM Metro,DeepcoreMines,Drains,Dreary Pipeworks,Expanded Mineshaft,Gearbolt Foundry,Gothic Monastery,Gray Apartments,Guardia Fortress,junkrooms,Liminal Facility,LostEdifice,Niven Reactor,Raven Manor,Rubber Rooms,Scarlet Basement,Scarlet Foyer,Slaughterhouse,Spelunkers Caverns Basic,Spelunkers Caverns Crystal,Spelunkers Caverns Frozen,Spelunkers Caverns Magmatic,Spelunkers Caverns Overgrown,Spelunkers Caverns Random,Storehouse,Studio Floor,Sub Systems,Substation,Supermarket,Tower,Zeranos Gray Apartments,Zeranos Guardia Fortress,Facility (Level1Flow),Haunted Mansion (Level2Flow),Mineshaft (Level3Flow)
Hydro,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Baykal,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Makron,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Terra,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Deluge,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Bilge,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Redfen,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Acheron,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Argent,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
EchoReach,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Nyx,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Zenit,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Fracture,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Integrity,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Chronos,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Mazon,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Vertigo,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Espira,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Noctis,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Budapest,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Lithium,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Halation,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Ultimatum,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Devastation,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Harvest,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Kanie,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Collateral,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Deadlock,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Icebound,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Landslide,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Divide,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Obscura,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Submersion,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Ignition,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Celestria,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Brutality,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Incineration,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Hadal,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Harloth,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Calypso,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Humidity,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
CaltPrime,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Kaleidos,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Pandoramus,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Sanguine,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Spectralis,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Adamance,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Offense,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Assurance,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Experimentation,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Liquidation,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Embrion,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Vow,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
March,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Artifice,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Dine,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Gordion,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Titan,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Rend,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
